customer_id,customer_name,email,signup_date,country,region,industry,acquisition_channel
CUST009771,Michael Carrillo,yperez@example.net,2025-11-08,DE,South Carolina,Logistics,Facebook Ads
CUST005214,  Lindsey Cruz MD  ,qlucas@example.org,2026-04-13,CA ,,Real Estate,AFFILIATE
CUST001459,Ryan Brown,edwardsmichaela@example.com,,UAE,Illinois,Hospitality,SEO
CUST002252,Pamela Howard,omarturner@example.org,08-06-2025, India,Oklahoma,Real Estate,Partner
CUST003433,April Gallagher,ericbrooks@example.org,10/05/2023, India,Nevada,Real Estate,REFERRAL
CUST000327,Kathy Simpson,cperry@example.com,07-06-2024,  United Kingdom  ,Hawaii,Manufacturing,  email  
CUST006653,Christian Jones,qvalentine@example.net,27-10-2024,AUS,Massachusetts,Real Estate,Paid Search
CUST001441,Mike Wells,robert27@example.org,2024-07-05,germany,Alabama,Retail,  Partner  
CUST009858,Sarah Contreras,barbara46@example.net,2024-05-05,canada,Kansas,Manufacturing,Paid Search
CUST005712,Juan Murphy,ojohnson@example.com,2023-07-25,India,,Technology,Display
CUST009518,Donna Herrera,oflores@example.com,2023-07-30,AUS,New Hampshire,Media,PPC
CUST002009,Justin Barrera,traceyguerra@example.com,2024-09-20,UAE,West Virginia,Manufacturing,affiliate
CUST006040,Brian Ferrell PhD,priscilla11@example.com,2025-11-19,brazil,,Technology,Display
CUST006066,Denise Bell,randycarpenter@example.com,2025-08-08,Singapore,California,Media,Partner
CUST002151,Zachary Lara,catherinemoore@example.com,2023-01-23,FR,Kentucky,Technology,Affliate
CUST002409,Sherri Baker,dustinwilliams@example.com,20 Mar 2025,USA,North Carolina,Technology,REFERRAL
CUST001358,Todd Harris,priscilla37@example.net,2024-07-20,CA ,Maryland,Hospitality,Affiliate
CUST008327,  Angela Aguilar  ,pfox@example.net,2026-06-02,  United Arab Emirates  ,Vermont,Healthcare,DISPLAY
CUST006265,David Hancock,cmcintyre@example.com,2025-06-13,DE,Maryland,Retail,Display Ads
CUST001898,Jasmine Swanson,amygonzalez@example.net,12-06-2024,CA ,Nevada,Technology,Referal
CUST003893,Victor Acosta,clintonhaley@example.org,20-12-2025,France,,Hospitality,DISPLAY
CUST002338,  MARCUS RUSSELL  ,jennifersolomon@example.net,2024-05-28,  U.A.E  ,Colorado,Education,REFERRAL
CUST000923,Shelly Munoz,mccarthysara@example.com,2025-11-04,Germany,New Jersey,Technology,Paid Search
CUST009389,Lisa Perry,griffinpatricia@example.org,,France,Arizona,Logistics,AFFILIATE
CUST002448,BRIAN THOMPSON,gina49@example.net,2023-01-29,Singapore,Missouri,Retail,Affiliate
CUST008632,Michael Powers,suarezjeffrey@example.net,17-05-2023,United states,Indiana,Real Estate,Affliate
CUST007602,Kari Lee,alyssa14@example.com,29-01-2025,australia,,Hospitality,AFFILIATE
CUST005850,Alexis Rosario,brian41@example.org,26-04-2025,India,California,Real Estate,Display
CUST005291,Dalton Williams,richardsonjames@example.org,2023-10-26,Singapore,,Logistics,social media
CUST009397,Trevor Gomez,figueroachad@example.org,2023-12-24,singapore,North Dakota,Retail,social media
CUST000794,Connie Howard,brian39@example.net,2024-04-19,germany,Iowa,Healthcare,Referal
CUST007528,Miranda Villegas,fbyrd@example.org,09-11-2025,brazil,Georgia,Finance,Display Ads
CUST003365,Sean Murray,athompson@example.org,08-09-2025,Germany,Missouri,Finance,Paid Search
CUST003427,Christopher Higgins,kyle91@example.com,17-06-2023,U.A.E,New Jersey,Media,Affliate
CUST008461,Brian White,spencemichael@example.net,2024-05-15,Australia,,Media,Referal
CUST000641,Heather Turner,lisa46@example.org,06-02-2026,  U.K.  ,Oklahoma,Technology,  Social  
CUST003610,Elizabeth Jennings,gjohnson@example.org,26-03-2026,DE,West Virginia,Retail,social media
CUST002510,Grant Henderson,xcardenas@example.org,09 Apr 2023,United Kingdom,Maryland,Finance,Banner
